response,elpd_B3a,elpd_B3b,elpd_diff_B3a_minus_B3b,se_diff,preferred
meancoldale,-82597.5848853277,-82694.6867986482,97.10191332049726,15.85343682480176,B3a (full interactions)
dichrodale,13892.332498331569,13734.228390185866,158.1041081457024,25.05882302949001,B3a (full interactions)
malecoldale,-88312.76510428371,-88445.71998282472,132.9548785410152,17.142441182472684,B3a (full interactions)
dichrodiffdale,-85240.79776836559,-85395.93078062966,155.13301226406475,24.409622918157865,B3a (full interactions)
